model,country,experiment_type,R2_Average,MAE_Average,R2_Average_raw,MAE_Average_raw,ensemble_strategy,ensemble_selected_lambda,ensemble_val_mean_r2,pretrain_final_loss,finetune_final_val_r2,source_samples,target_train_samples,target_test_samples,freeze_encoder,pretrain_lr,finetune_lr,finetune_patience,finetune_weight_decay,d_model,n_layers,temperature,n_source,n_train,n_val,n_test,n_total,years_min,years_max,n_years,R2_target_0,R2_target_1,R2_target_2,R2_target_3,R2_target_4,R2_target_5,R2_target_0_raw,R2_target_1_raw,R2_target_2_raw,R2_target_3_raw,R2_target_4_raw,R2_target_5_raw,seed,experiment_code
CT-CCTL-EMIT,SGP,Cross_Time_Contrastive_Learning,0.636215139675867,1.3684650159658858,0.5066737729819363,1.6912732808457482,ct_mlp_stack,1.0,0.6540362749633718,,0.5763026475906372,1455505,500,150,False,0.0003,1e-05,60,0.0001,384,4,0.07,1455505,500,167,150,817,2019,2023,5,0.5617697815693341,0.5825617151611651,0.8520679340720119,0.3922276447727905,0.6157594052561159,0.8129043572237842,0.4536597759579718,0.4094051186578176,0.7179716615574074,0.2559528625404788,0.476845794696134,0.7262074244818073,42,C_CT
CT-CCTL-EMIT,NOR,Cross_Time_Contrastive_Learning,0.625401326616353,1.7104764960898688,0.4080723575480005,2.3781056875828246,ct_mlp_stack,1.0,0.568343624088007,,0.5309715270996094,1465883,280,96,False,0.0003,1e-05,60,0.0001,384,4,0.07,1465883,280,110,96,486,2019,2023,5,0.7445386308357517,0.5533753725905186,0.7684905167426059,0.4664620884070124,0.4356284525900221,0.7839128985322067,0.5806961085562425,0.3027570639302303,0.6618541613761344,0.0237978256177934,0.1916194172882944,0.6877095685193083,42,C_CT
CT-CCTL-EMIT,FIN,Cross_Time_Contrastive_Learning,0.7268059072120732,1.2826251170615734,0.137338431408679,2.4288853487255526,ct_mlp_stack,0.0,0.668019185800888,,0.4770508408546448,1468698,206,68,False,0.0003,1e-05,60,0.0001,384,4,0.07,1468698,206,72,68,346,2019,2023,5,0.7635756773953274,0.8151323226239597,0.8430046358367533,0.4492688805730169,0.6210521947831034,0.8688017320602787,0.4488331183804589,0.2580933223475801,0.3191044604738368,-0.1089704075795527,0.1521300040945726,-0.2451599092648211,42,C_CT
CT-CCTL-EMIT,NGA,Cross_Time_Contrastive_Learning,0.3418963208795696,1.2191152403160268,-17.030970755853783,6.293344403141075,ct_mlp_stack,0.01,0.5862630511636319,,-2.9027252197265625,1470229,57,15,False,0.0003,1e-05,60,0.0001,384,4,0.07,1470229,57,19,15,91,2019,2023,5,0.412568550344641,-0.3512415410578908,0.3095563752285709,0.3540564854489111,0.8196674899050213,0.5067705654081641,-3.599299952582492,-20.94583267376187,-34.128644150479595,-1.3309463326086122,-3.028468801089434,-39.15263262460071,42,C_CT
CT-CCTL-EMIT,DEU,Cross_Time_Contrastive_Learning,0.7245998739795884,1.3210308452179034,0.6548013374918928,1.5445181165323545,ct_mlp_stack,1.0,0.7330519808795413,,0.7192001342773438,1448754,816,252,False,0.0003,1e-05,60,0.0001,384,4,0.07,1448754,816,281,252,1349,2019,2023,5,0.7884161589933321,0.7827330218796429,0.869553267031314,0.4744729524235442,0.5607552280943912,0.8716686154553059,0.7258330753972899,0.7570397439596293,0.8522259426853107,0.2135368312295358,0.5224678869672348,0.8577045447123566,42,C_CT
CT-CCTL-EMIT,RUS,Cross_Time_Contrastive_Learning,0.6123386976835914,1.5172973345578191,-0.6580344288248473,3.230548804336124,ct_mlp_stack,0.0,0.6452227693295784,,0.0879068374633789,1467927,192,30,False,0.0003,1e-05,60,0.0001,384,4,0.07,1467927,192,35,30,257,2019,2023,5,0.7730610247208807,0.7626477086941978,0.7213916006540446,0.0514894194971007,0.6849206750714043,0.6805217574639201,0.3675153714327662,-0.4751080886100134,-0.3857077282769603,-0.6340247048405188,-0.0394496487742703,-2.7814317738800867,42,C_CT
CT-CCTL-EMIT,KWT,Cross_Time_Contrastive_Learning,0.6579337875846948,1.182801883317918,-5.927331576731906,5.199384215672034,ct_mlp_stack,0.001,0.589674685504832,,-2.577643632888794,1469625,109,40,False,0.0003,1e-05,60,0.0001,384,4,0.07,1469625,109,42,40,191,2019,2023,5,0.7778862335419054,0.6360440206715161,0.7640003542008293,0.5511803962730373,0.4506970820599183,0.7677946387609618,-0.6697335474240216,-8.809203229265547,-10.632894089054242,-1.0712707928615246,-1.7652660969499672,-12.61562170483613,42,C_CT
CT-CCTL-EMIT,HKG,Cross_Time_Contrastive_Learning,0.7409823846777921,1.2869115640005584,0.6901616590177034,1.4224393659794492,ct_mlp_stack,1.0,0.7370215859517559,,0.7415481805801392,1437948,1664,474,False,0.0003,1e-05,60,0.0001,384,4,0.07,1437948,1664,540,474,2678,2019,2023,5,0.7169093296103524,0.8075156486412876,0.873743543454183,0.4732339705571166,0.6839924904488066,0.8904993253550062,0.7027081111956962,0.7486542885879076,0.816117002516801,0.3832313772678714,0.6419585890614691,0.8483005854764756,42,C_CT
CT-CCTL-EMIT,USA,Cross_Time_Contrastive_Learning,0.7493161556914948,1.197866366029931,0.7204168454494032,1.270442514016955,ct_mlp_stack,1.0,0.7684861225328459,,0.7683627605438232,1004831,9222,2998,False,0.0003,1e-05,60,0.0001,384,4,0.07,1004831,9222,3294,2998,15514,2019,2023,5,0.863662556059599,0.8626916814928748,0.9409133966535158,0.2885667703121192,0.5971405890324162,0.9429219405984438,0.8449518854144632,0.8417654779372041,0.9257177211892716,0.2386854204436311,0.5409704494338179,0.9304101182780316,42,C_CT
CT-CCTL-EMIT,CHN,Cross_Time_Contrastive_Learning,0.6701455394150968,1.1294533337778738,0.5858099113167554,1.2636568968724622,ct_mlp_stack,1.0,0.6747089253590227,,0.7247169017791748,1369804,7400,3192,False,0.0003,1e-05,60,0.0001,384,4,0.07,1369804,7400,3396,3192,13988,2019,2023,5,0.742039957197614,0.7406248755600566,0.8952073818467895,0.2044357813515583,0.5459197143428232,0.8926455261917394,0.720683856836436,0.7034934404554413,0.860655407156453,-0.0644432261285576,0.4210694549153738,0.8734005346653864,42,C_CT
CT-CCTL-EMIT,TUR,Cross_Time_Contrastive_Learning,0.4724705010183345,1.7986900613981265,0.3873808724230407,2.0269854137838013,ct_mlp_stack,0.0,0.5369911317528556,,0.5918444395065308,1464423,332,132,False,0.0003,1e-05,60,0.0001,384,4,0.07,1464423,332,150,132,614,2019,2023,5,0.4650069631367987,0.5452001755942146,0.6342526190313642,0.238263778813825,0.4630799126124519,0.4890195569213524,0.4889642435615698,0.4357476292855285,0.5542261877196649,-0.135429609911108,0.3119285744010145,0.6688482094815744,42,C_CT
CT-CCTL-EMIT,NZL,Cross_Time_Contrastive_Learning,0.4438441823605192,1.5591003645188628,0.056473039147422,2.3178774313738115,ct_mlp_stack,0.01,0.6054761948511082,,0.3237254619598388,1469273,185,59,False,0.0003,1e-05,60,0.0001,384,4,0.07,1469273,185,63,59,307,2019,2023,5,0.3723312911322263,0.1824210971033891,0.7650284922349502,0.2610969880526858,0.4201530894791289,0.6620341361607349,0.2711871522152175,0.2168695822631833,0.3153030509553146,-0.2738942026573328,0.0951746375386067,-0.285801985430457,42,C_CT
CT-CCTL-EMIT,ARE,Cross_Time_Contrastive_Learning,0.4590606759500344,1.7530960893084346,-0.6190764340995578,3.155410491656644,ct_mlp_stack,0.0,0.5064183394833991,,-0.1451865434646606,1470644,135,47,False,0.0003,1e-05,60,0.0001,384,4,0.07,1470644,135,54,47,236,2019,2023,5,0.7200063572945269,0.4878653475851968,0.535472815700099,0.3673325951085604,0.0399241439659509,0.6037627960458727,0.1235445757681139,-0.6314794491026401,-0.4778768042584731,-0.205397147565963,-0.3055064206075748,-2.217743358830809,42,C_CT
CT-CCTL-EMIT,BMU,Cross_Time_Contrastive_Learning,0.5165182309977968,1.686221750871651,-0.5412607584050011,3.259094367742144,ct_mlp_stack,0.0,0.5233613797445955,,0.2529695630073547,1470606,141,44,False,0.0003,1e-05,60,0.0001,384,4,0.07,1470606,141,47,44,232,2019,2023,5,0.7748912629584281,0.2555434725653904,0.6997353532789186,0.0827655925545658,0.5276815774361319,0.7584921271933465,0.5487214026088163,-0.1928209356615655,-0.7295474985669181,-0.4866981682412654,0.1692694735522407,-2.5564888241213146,42,C_CT
CT-CCTL-EMIT,LUX,Cross_Time_Contrastive_Learning,0.5321732891869344,1.976069548789417,-4.78835959047223,6.5841678567607,ct_mlp_stack,0.01,0.4108522429531341,,-1.83106017112732,1471782,107,33,False,0.0003,1e-05,60,0.0001,384,4,0.07,1471782,107,39,33,179,2019,2023,5,0.8061810859561667,0.6876351736715173,0.7758091931401834,0.2001704839762277,-0.0413188455692299,0.7645626439467416,-0.8422136479770659,-4.538100158658314,-9.387686995612036,-0.4193494938339654,-0.9816389707478133,-12.561168276004182,42,C_CT
CT-CCTL-EMIT,PRT,Cross_Time_Contrastive_Learning,0.4360652013900131,1.7088325867003276,-7.768709800796048,6.559074064095815,ct_mlp_stack,1.0,0.6639347524376189,,-1.1438016891479492,1471775,48,15,False,0.0003,1e-05,60,0.0001,384,4,0.07,1471775,48,17,15,80,2019,2023,5,0.6617832060048795,0.145242336481425,0.3946338443884535,0.547634998587871,0.3880019749063489,0.479094847971101,-1.9265695798527047,-11.255752784988571,-16.401889797925953,-0.147722635347608,-0.3813832927521008,-16.49894071390935,42,C_CT
