country,experiment_type,experiment_type_full,R2_Average,MAE_Average,RMSE_Average,training_samples,finetune_samples,log_Scope1,log_Scope2,log_Scope3_upstream,log_Scope3_downLA,log_Scope3_prod,log_Scope_total
ISR,C,Transfer_Learning,0.8705805937449137,0.7055815805991491,1.0219585830604745,84439,784,0.9056881666183472,0.8445850014686584,0.9203665256500244,0.8644376993179321,0.7489752769470215,0.9394308924674988
ISR,C_dev,Transfer_Learning_Developed,0.8601069947083791,0.7287372052669525,1.059620133059655,58312,784,0.90635746717453,0.8437502980232239,0.938967227935791,0.8394515514373779,0.6807860136032104,0.9513294100761414
ISR,Transfer_Learning_FTT,Transfer_Learning_FTT,0.7607921262582144,0.9741543829441071,1.394199936304504,84439,784,0.829272985458374,0.7058154344558716,0.8565484285354614,0.6043645739555359,0.6955870389938354,0.8731642961502075
ISR,Transfer_Learning_FTT_Developed,Transfer_Learning_FTT_Developed,0.75895227988561,1.0029345254103343,1.4023391145283082,58312,784,0.8422079086303711,0.754101037979126,0.8688703775405884,0.6951310634613037,0.49912089109420776,0.8942824006080627
ISR,D_full,Transfer_Learning_FTT_Full,0.8378391663233439,0.8199631124734879,1.1570111413490942,84439,784,0.8908935189247131,0.8548859357833862,0.9048594236373901,0.7344707250595093,0.7131963968276978,0.9287289977073669
ISR,D_full_dev,Transfer_Learning_FTT_Full_Developed,0.8207494020462036,0.8470365256071091,1.2110003954942778,58312,784,0.8860746622085571,0.7993741035461426,0.8833487033843994,0.7345527410507202,0.7068642377853394,0.914281964302063
IRL,C,Transfer_Learning,0.8418521583080292,0.9625890205303828,1.322884815285267,84935,288,0.915218710899353,0.8581802845001221,0.943364679813385,0.5651811361312866,0.8188283443450928,0.9503397941589355
IRL,C_dev,Transfer_Learning_Developed,0.812625527381897,1.0414083451032639,1.413813319646435,58808,288,0.8934120535850525,0.8319474458694458,0.9343603849411011,0.4539226293563843,0.8160616159439087,0.9460490345954895
IRL,Transfer_Learning_FTT,Transfer_Learning_FTT,0.7072591880957285,1.1797545154889424,1.680230463996092,84935,288,0.8438507914543152,0.8242693543434143,0.9106894135475159,-0.04799330234527588,0.779335618019104,0.9334032535552979
IRL,Transfer_Learning_FTT_Developed,Transfer_Learning_FTT_Developed,0.7008195718129476,1.2569063703219097,1.817266758986716,58808,288,0.8556946516036987,0.8274484872817993,0.9313780069351196,0.08831024169921875,0.5602128505706787,0.9418731927871704
IRL,D_full,Transfer_Learning_FTT_Full,0.72797159353892,1.2315677801767986,1.726207462160615,84935,288,0.8259297013282776,0.7894796133041382,0.9168366193771362,0.22390049695968628,0.7019138336181641,0.9097692966461182
IRL,D_full_dev,Transfer_Learning_FTT_Full_Developed,0.7060286998748779,1.2028784453868866,1.7185545719006272,58808,288,0.8661367893218994,0.7693600654602051,0.9345706105232239,0.0108986496925354,0.7311184406280518,0.924087643623352
PHL,C,Transfer_Learning,0.8451452155907949,0.8628108501434326,1.2069506866696909,84825,398,0.8169696927070618,0.874721348285675,0.9346163868904114,0.6812893152236938,0.8645331859588623,0.8987413644790649
PHL,C_dev,Transfer_Learning_Developed,0.8309339483579,0.9076063334941864,1.2546490582338252,59096,398,0.8204964399337769,0.8893052339553833,0.9375827312469482,0.5915021896362305,0.8354930877685547,0.9112240076065063
PHL,Transfer_Learning_FTT,Transfer_Learning_FTT,0.6792288025220236,1.2855559587478638,1.7659162860732043,84825,398,0.7175988554954529,0.7182710766792297,0.840463399887085,0.5897212028503418,0.40421146154403687,0.8051068186759949
