country,labeled_samples,best_model_R2_Average,best_r2_R2_Average,best_model_R2_log_Scope1,best_r2_R2_log_Scope1,best_model_R2_log_Scope2,best_r2_R2_log_Scope2,best_model_R2_log_Scope3_upstream,best_r2_R2_log_Scope3_upstream,best_model_R2_log_Scope3_downLA,best_r2_R2_log_Scope3_downLA,best_model_R2_log_Scope3_prod,best_r2_R2_log_Scope3_prod,best_model_R2_log_Scope_total,best_r2_R2_log_Scope_total
BEL,324,C,0.8243552049001058,A_star,0.9175954117275428,C,0.8403713703155518,C,0.9266024231910706,C,0.8736010789871216,A_star,0.7272571679754851,C,0.9482278227806092
NZL,307,A_star,0.7728154850003679,A_star,0.8734451540894141,A_star,0.6849549647550687,A_star,0.9446410608975366,C_dev,0.7356760501861572,C,0.8311668634414673,A_star,0.9132363458768136
PAK,303,C_dev,0.8475896616776785,C_dev,0.8695768117904663,A_star,0.7499259019916731,C_dev,0.857698917388916,C_dev,0.904288649559021,D_full_dev,0.9257923364639282,C,0.8777413368225098
DNK,291,C,0.8665242989857992,C,0.9210869073867798,C_dev,0.8688092231750488,A_star,0.9716287413797332,C_dev,0.7783514261245728,D_full_dev,0.8164925575256348,A_star,0.9592201219653884
IRL,288,C,0.8418521583080292,C,0.915218710899353,C,0.8581802845001221,A_star,0.9557087575237718,A_star,0.7093176802015901,C,0.8188283443450928,B_dev,0.9576217860200716
RUS,257,C_dev,0.8421072363853455,C_dev,0.9191153645515442,C,0.8467069268226624,C_dev,0.8797755837440491,C_CT,0.6849206750714043,D_full_dev,0.8885917663574219,C_dev,0.9134481549263
ARE,236,C_dev,0.8206132849057516,C,0.8759282231330872,C,0.8188951015472412,A_star,0.8986870616718234,C_dev,0.7272320985794067,C_dev,0.7268110513687134,C_dev,0.9244954586029052
BMU,232,D_full_dev,0.7394444346427917,D_full,0.894555926322937,A_star,0.5864120867697246,A_star,0.9367043264251464,B_dev,0.5439005933610919,D_full_dev,0.8970127701759338,D_full_dev,0.9523141384124756
CHL,232,C,0.8811185459295908,A_star,0.9510956903005444,C,0.8106768727302551,C,0.9495384693145752,C,0.7656970620155334,C_dev,0.8372283577919006,C,0.9759026765823364
AUT,200,C,0.9124532341957092,C,0.9520206451416016,C,0.8673248887062073,D_full,0.9516944289207458,C,0.8484013080596924,C,0.9221917390823364,C,0.950869619846344
GRC,199,C,0.8572171727816263,D_full,0.9399124383926392,C_dev,0.7499285936355591,C,0.9182780385017396,C_dev,0.816594123840332,C_dev,0.8436019420623779,C,0.9424741864204408
KWT,191,A_star,0.9044177045841284,C_dev,0.9219344854354858,A_star,0.906698669842431,A_star,0.9363196282681332,A_star,0.867108363447654,A_star,0.8759946146952248,A_star,0.9302063188931952
EGY,189,C,0.8622026145458221,A_star,0.8691521216473557,C,0.8702791929244995,A_star,0.8536645815174442,C_dev,0.8888642191886902,C,0.8348338603973389,C,0.8872007131576538
LUX,179,C,0.8472984830538431,A_star,0.9544316123750616,C,0.930012345314026,C,0.9724595546722412,C,0.8281924724578857,D_full,0.6772007942199707,C,0.9708062410354614
QAT,162,C,0.8771158456802368,C,0.9335891604423524,D_lora,0.8698144555091858,A_star,0.8945076976822774,C,0.9305098056793212,D_full_dev,0.7652645111083984,C,0.933358371257782
CYM,145,C_dev,0.7255622744560242,C_dev,0.6463420391082764,A_star,0.7617694476090434,D_full,0.9025465846061708,D_full,0.6590926051139832,D_full,0.894687831401825,C_dev,0.8739867210388184
VNM,113,A_star,0.900988424448628,A_star,0.9676015138175776,C_dev,0.8357923030853271,A_star,0.9199207642256372,A_star,0.8959743629931894,A_star,0.9409368911108744,A_star,0.9549607144259916
NGA,91,A_star,0.8068494008791837,A_star,0.932442824871557,A_star,0.867488512826637,C,0.8878676891326904,C_CT,0.8196674899050213,C_dev,0.9657747745513916,A_star,0.9580535869978208
COL,90,C,0.8566119273503622,C_CT,0.8802833845296153,A_star,0.886199907584916,C,0.9504279494285583,C_dev,0.9172630906105042,D_lora,0.8808504343032837,C,0.9246128797531128
PER,87,C_dev,0.71284618973732,A_star,0.9013286024132944,C_dev,0.8451319336891174,A_star,0.910309049393532,C_CT,0.7461664549639508,A_star,0.8962085950153079,A_star,0.9135818314125662
PRT,80,D_full,0.8990867535273234,A_star,0.9750150177137848,A_star,0.9182231187342584,A_star,0.9624081815314082,D_full,0.9311810731887816,D_lora,0.8982991576194763,A_star,0.9819518048084068
MAR,66,C_dev,0.8813429474830627,A_star,0.9877696817530768,C_CT,0.9315180024058488,A_star,0.9656743327698022,D_full,0.8872183561325073,D_lora,0.9363734722137452,C_dev,0.9835495352745056
KEN,52,C,0.8684471944967905,C,0.9559488892555236,C,0.8992166519165039,C,0.915216863155365,C_CT,0.8943557376879641,D_lora,0.95918869972229,D_full,0.9584879875183104
ARG,50,D_lora,0.7068080206712087,C_CT,0.9010288680209868,D_lora,0.9258907437324524,B,0.7900005903743493,D_lora_dev,0.8273943066596985,B_dev,0.6945395455256209,B,0.8123778830517316
