country,experiment_type,experiment_type_full,R2_Average,MAE_Average,RMSE_Average,training_samples,valid_training_samples,data_efficiency,log_Scope1,log_Scope2,log_Scope3_upstream,log_Scope3_downLA,log_Scope3_prod,log_Scope_total
USA,A,Country_Self_Modeling,0.9046520166357791,0.6715987004609759,1.0482503106333327,38379,10859,0.28294119179759764,0.9403383550565103,0.9458956980572522,0.9824713793046365,0.7339064425572457,0.8440629618562123,0.9812372629828177
USA,B,Global_Baseline,0.7585666830185115,1.2622472734239871,1.6961318664402352,69709,0,0.0,0.8338504389379224,0.8323960829282765,0.946850735731932,0.37758210131570014,0.6243067616880916,0.936413977509146
USA,B_dev,Developed_Baseline,0.7681146006582189,1.2350741722858705,1.663055196435387,43582,0,0.0,0.8496011059174349,0.8185159812201315,0.9517249974893947,0.41655044504271044,0.629218299929488,0.9430767743501539
CAN,A,Country_Self_Modeling,0.865980810501652,0.87809416200129,1.3090392432107911,5369,1479,0.275470292419445,0.9084047199500604,0.8495452090041091,0.9673467155153245,0.7579694869482017,0.7622995424089126,0.9503191891833027
CAN,B,Global_Baseline,0.7223379125426611,1.3312912147023945,1.8574665369771528,83108,0,0.0,0.7470405442574469,0.6193069630486183,0.9283682319495816,0.5458694521312042,0.6165933089902768,0.8768489748788391
CAN,B_dev,Developed_Baseline,0.7267033411209484,1.2941166237569879,1.8372070787544683,56981,0,0.0,0.7459382886881479,0.6204479355487481,0.9314396541624047,0.54524737353867,0.6352168161696561,0.881929978618063
NLD,A,Country_Self_Modeling,0.791220330029668,1.0253797533980535,1.517769909077743,1466,310,0.21145975443383355,0.8215755839012809,0.6678757463138207,0.9631889576197676,0.520693608116299,0.8156680297971383,0.9583200544297007
NLD,B,Global_Baseline,0.7144715103721812,1.3538937605781245,1.8700457138324016,84779,0,0.0,0.6650760663096845,0.6881597654330107,0.9122342156291692,0.4546008635811616,0.6623124254195604,0.9044457258605012
NLD,B_dev,Developed_Baseline,0.7186745888008983,1.3219870543938097,1.8502506886768917,58652,0,0.0,0.6775128206960768,0.7041977746857406,0.9178767659772636,0.42529516853632954,0.6777610645642064,0.9094039383457732
ISR,A,Country_Self_Modeling,0.7740935556545616,0.7546043846789549,1.2616945771435526,1622,548,0.33785450061652283,0.8625866903744277,0.34830361716275493,0.9440422499984459,0.7761444809163616,0.7937900189703411,0.9196942765050384
ISR,B,Global_Baseline,0.7654816140861908,1.0524249571876927,1.4671835229729293,84439,0,0.0,0.818728482865276,0.7444267063804457,0.8710771884313295,0.6896969946606705,0.596124547548447,0.8728357646309766
ISR,B_dev,Developed_Baseline,0.7697007973122929,1.0324616271046347,1.4504573062398871,58312,0,0.0,0.8133072233499103,0.7424438690482043,0.883737977381074,0.6588252740723914,0.6399779035297433,0.8799125364924336
BMU,A,Country_Self_Modeling,0.7039791045633549,1.2709324940593754,1.850044207626363,757,162,0.21400264200792601,0.7859057871632984,0.5864120867697246,0.9367043264251463,0.3192003214607658,0.7280925252200223,0.867559580341172
BMU,B,Global_Baseline,0.7281700937768468,1.2901665070429442,1.7996622319202487,84991,0,0.0,0.8642731872922411,0.562578921168776,0.9222213030712509,0.49480338598978046,0.6792509412306904,0.8458928239083421
BMU,B_dev,Developed_Baseline,0.7359451989721767,1.2595572779898034,1.7684348877919056,58864,0,0.0,0.8718608810569274,0.5629436654444615,0.9103964165748405,0.5439005933610919,0.692115347304503,0.8344542900912366
GBR,A,Country_Self_Modeling,0.8264754767912755,0.9625395515787064,1.4109104810047342,10881,1628,0.14961860123150444,0.8852833119335186,0.8921338424036718,0.9683684416543095,0.5705833975831954,0.6810616719216347,0.9614221952513238
GBR,B,Global_Baseline,0.7022644491817106,1.3886630909756048,1.9002927534626466,82897,0,0.0,0.7775520059431779,0.7154811621177485,0.9213400517763978,0.3813327147648101,0.5057008732630928,0.9121798872250368
GBR,B_dev,Developed_Baseline,0.7122148101433609,1.3510439109953383,1.859724085534683,56770,0,0.0,0.7867078018421421,0.724060192903814,0.9333977053599734,0.37481015214881086,0.5305076049271142,0.9238054036783102
JPN,A,Country_Self_Modeling,0.876394455019685,0.6774514320112908,1.0377138721490058,23682,7769,0.3280550629169834,0.8991971271772576,0.9152983792682546,0.9781530279193601,0.6951000784430479,0.7983887650137852,0.9722293522964058
JPN,B,Global_Baseline,0.6617895801591077,1.288601537544389,1.7535650306599884,74124,0,0.0,0.7538266417419013,0.726710107191813,0.7712834788094226,0.3885618045042144,0.52499213968551,0.8053633090217853
JPN,B_dev,Developed_Baseline,0.6450811185045711,1.344736676558587,1.7914633857019098,47997,0,0.0,0.7319364971647546,0.7209047695941266,0.7787724494560933,0.32140375936588994,0.5212969497216173,0.7961722857249446
IRL,A,Country_Self_Modeling,0.8265810818355378,0.9100804586508042,1.361978817956185,939,200,0.21299254526091588,0.8943213826901927,0.8579880500094015,0.9557087575237718,0.7093176802015901,0.6046778856494186,0.9374727349388512
IRL,B,Global_Baseline,0.7293749337978147,1.2575677354964703,1.6668010143323075,84935,0,0.0,0.8149406695568455,0.819381199743732,0.9537808788920297,0.22490190012549827,0.6159974763400377,0.9472474781287451
IRL,B_dev,Developed_Baseline,0.7366578072877261,1.222170531221732,1.6578347137107725,58808,0,0.0,0.828045211284103,0.8167668844285524,0.9546504275589648,0.2766424980841298,0.5862200363505352,0.9576217860200716
